timestamp,LU1,LU2,LU3,LU4,LU5,LU6,LU7,GX1-X,GX1-Y,GX2-X,GX2-Y,GX3-X,GX3-Y
23/08/2022 11:33,1072.7725,1063.0009,943.4741,982.5401,1037.0496,1018.6593,850.7446,0.8853,-0.2443,2.8357,-0.1279,0.8853,-0.2443
23/08/2022 11:43,1072.7029,1063.1208,944.1496,982.5673,1037.0836,1018.7636,850.8453,0.8853,-0.2443,2.8357,-0.1279,0.8853,-0.2443
23/08/2022 11:53,1072.7687,1063.3406,943.9417,982.6794,1037.1576,1018.9185,850.8832,0.8851,-0.2443,2.836,-0.1279,0.8851,-0.2443
23/08/2022 12:04,1072.9597,1063.5472,943.7932,982.7759,1037.2686,1019.1311,851.1254,0.8855,-0.2443,2.8353,-0.1279,0.8855,-0.2443
23/08/2022 12:14,1072.7102,1063.7222,943.4362,982.9575,1037.3264,1019.1709,851.0105,0.8855,-0.2443,2.8357,-0.1279,0.8855,-0.2443
23/08/2022 12:24,1072.6437,1063.8524,943.4879,983.0634,1037.3883,1019.4223,851.1242,0.8844,-0.2443,2.836,-0.1279,0.8844,-0.2443
23/08/2022 12:35,1072.5726,1064.0957,943.7597,983.2673,1037.5497,1019.6229,851.3422,0.8835,-0.2443,2.8364,-0.1279,0.8835,-0.2443
23/08/2022 12:45,1072.505,1064.2859,943.9619,983.3508,1037.6809,1019.8124,851.5269,0.8837,-0.2443,2.8364,-0.1279,0.8837,-0.2443
23/08/2022 12:55,1072.1823,1064.6786,943.5263,983.6251,1037.823,1020.0204,851.7778,0.8839,-0.2443,2.8366,-0.1279,0.8839,-0.2443
23/08/2022 13:05,1071.8608,1064.7737,943.3538,983.6741,1037.8459,1020.1848,851.9025,0.8842,-0.2443,2.836,-0.1279,0.8842,-0.2443
23/08/2022 13:16,1071.7335,1064.9208,943.3701,983.796,1037.9108,1020.3814,851.7424,0.8837,-0.2443,2.8366,-0.1279,0.8837,-0.2443
23/08/2022 13:26,1071.5558,1065.0312,943.328,983.9008,1037.9738,1020.5578,851.8572,0.8835,-0.2443,2.8364,-0.1279,0.8835,-0.2443
23/08/2022 13:36,1071.0872,1065.2765,943.404,984.0234,1038.1237,1020.8455,0,0.8839,-0.2443,2.8369,-0.1279,0.8839,-0.2443
23/08/2022 13:47,1070.8182,1065.4958,943.996,984.2098,1038.2202,1020.9713,852.2291,0.8835,-0.2443,2.8364,-0.1279,0.8835,-0.2443
23/08/2022 13:57,1070.4408,1065.7046,943.4103,984.4352,0,1021.2267,852.3986,0.8833,-0.2443,2.8366,-0.1279,0.8833,-0.2443
23/08/2022 14:07,1070.4779,1065.7233,943.5751,984.4081,1038.3025,1021.2963,852.4124,0.8837,-0.2443,2.8369,-0.1279,0.8837,-0.2443
23/08/2022 14:18,1070.0911,1065.8721,943.6809,984.4299,1038.3601,1021.1962,852.3339,0.8839,-0.2443,2.8371,-0.1279,0.8839,-0.2443
23/08/2022 14:28,1070.0397,1066.2443,943.9394,984.8137,1038.7018,1021.6844,852.4398,0.8833,-0.2443,2.8375,-0.1279,0.8833,-0.2443
23/08/2022 14:38,1070.0206,1066.3278,943.5913,984.733,1038.589,1021.6274,852.6676,0.8833,-0.2443,2.8362,-0.1279,0.8833,-0.2443
23/08/2022 14:48,1069.3839,1066.3369,943.2343,984.8461,1038.693,1021.7846,852.7587,0.8839,-0.2443,2.8366,-0.1279,0.8839,-0.2443
23/08/2022 14:59,1070.1322,1066.5525,943.2233,984.8828,1038.7317,1021.9135,852.9149,0.8839,-0.2443,2.8366,-0.1279,0.8839,-0.2443
23/08/2022 15:09,1069.7859,1066.4972,944.0118,984.8255,1038.739,1021.8848,852.8359,0.8833,-0.2443,2.8366,-0.1279,0.8833,-0.2443
23/08/2022 15:19,1069.8429,1066.2572,944.1479,984.8052,1038.7297,1021.8864,852.8518,0.883,-0.2443,2.8371,-0.1279,0.883,-0.2443
23/08/2022 15:30,1068.5742,1065.9955,943.6422,984.5132,1038.4509,1021.6747,852.5775,0.8837,-0.2443,2.8373,-0.1279,0.8837,-0.2443
23/08/2022 15:40,1069.7441,1065.9492,943.8782,984.4733,1038.4219,1021.3243,852.599,0.8839,-0.2443,2.8375,-0.1279,0.8839,-0.2443
23/08/2022 15:50,1069.8733,1065.8606,943.5282,984.3493,0,1021.2961,852.4958,0.8835,-0.2443,2.8378,-0.1279,0.8835,-0.2443
23/08/2022 16:01,1069.9854,1065.9194,943.9156,984.3119,1038.2148,1021.3541,852.3295,0.8837,-0.2443,2.8378,-0.1279,0.8837,-0.2443
23/08/2022 16:11,1069.7622,1065.8059,943.9792,984.4599,1038.3521,1021.2713,0,0.8833,-0.2443,2.8373,-0.1279,0.8833,-0.2443
23/08/2022 16:21,1069.5554,1065.9163,943.552,984.4952,1038.2524,1021.2084,852.5891,0.8833,-0.2443,2.8371,-0.1279,0.8833,-0.2443
23/08/2022 16:32,1069.4747,1065.7983,943.6981,984.618,1038.3145,1021.1085,852.5459,0.8828,-0.2443,2.8375,-0.1279,0.8828,-0.2443
23/08/2022 16:42,1069.3647,1065.536,943.605,984.3873,1038.2681,1020.5579,852.5203,0.8835,-0.2443,2.8378,-0.1279,0.8835,-0.2443
23/08/2022 16:52,1069.2097,1065.4601,943.8995,984.4258,1038.2114,1020.2292,852.3868,0.8835,-0.2443,2.8373,-0.1279,0.8835,-0.2443
23/08/2022 17:03,1068.9882,1065.1349,943.8103,984.3969,1038.2317,1020.0635,852.4667,0.8835,-0.2443,2.8371,-0.1279,0.8835,-0.2443
23/08/2022 17:13,1068.9836,1064.8358,943.417,984.3058,1038.2773,1019.8616,852.4139,0.8837,-0.2443,2.8371,-0.1279,0.8837,-0.2443
23/08/2022 17:23,1068.8683,1064.5579,944.1257,984.2161,1038.2942,1019.769,852.3721,0.8839,-0.2443,2.8382,-0.1279,0.8839,-0.2443
